Universite;Bolum;Kategori;TabanNet;TabanSira;TytNet;AytNet
Boğaziçi Üniversitesi (İstanbul);Bilgisayar Mühendisliği;SAY (Sayısal);105.5;1.200;95.0;65.5
Orta Doğu Teknik Üniversitesi (ODTÜ - Ankara);Bilgisayar Mühendisliği;SAY (Sayısal);104.0;1.400;94.0;64.0
İstanbul Teknik Üniversitesi (İTÜ);Bilgisayar Mühendisliği;SAY (Sayısal);102.5;1.800;93.0;63.5
Koç Üniversitesi (İstanbul);Tıp Fakültesi (Burslu);SAY (Sayısal);112.0;150;99.5;71.0
Hacettepe Üniversitesi (Ankara);Tıp Fakültesi;SAY (Sayısal);108.0;850;98.0;68.0
İstanbul Üniversitesi;Tıp Fakültesi (Çapa);SAY (Sayısal);106.5;1.100;96.5;66.5
Ankara Üniversitesi;Hukuk Fakültesi;EA (Eşit Ağırlık);85.0;7.500;68.0;40.0
İstanbul Üniversitesi;Hukuk Fakültesi;EA (Eşit Ağırlık);82.0;12.000;65.0;38.0
Galatasaray Üniversitesi (İstanbul);İletişim;SÖZ (Sözel);75.0;15.000;68.0;30.0
Giresun Üniversitesi;Matematik;SAY (Sayısal);45.0;280.000;50.0;18.0
